po_no,po_date,client_name,product_details,qty,dispatch_status,invoice_no,invoice_date,invoice_amount,payment_status
PO-1001,2025-09-01,Taj Hotels,"Tray x2; Soap Dispenser x2",4,Delivered,INV-1001,2025-09-05,12500,Received
PO-1002,2025-09-03,Oberoi Hotels,"Glass Jar x3; Mirror x1",4,Pending,INV-1002,2025-09-07,8900,Pending
PO-1003,2025-09-05,ITC Maurya,"Bone Tray x5",5,Delivered,INV-1003,2025-09-09,7200,Received
PO-1004,2025-09-07,Leela Palace,"Soap Set x2; Tissue Box x1",3,Pending,INV-1004,2025-09-12,6800,Pending
PO-1005,2025-09-10,Trident,"Candle Stand x3",3,Pending,INV-1005,2025-09-13,9200,Pending
PO-1006,2025-09-12,Marriott,"Diffuser x10",10,Pending,INV-1006,2025-09-15,4800,Received
PO-1007,2025-09-14,Hyatt Regency,"Tray x6; Jar x4",10,Delivered,INV-1007,2025-09-17,5600,Received
PO-1008,2025-09-15,Radisson Blu,"Soap Dispenser x2",2,Pending,INV-1008,2025-09-18,6400,Pending
PO-1009,2025-09-17,The Claridges,"Aroma Set x8",8,Delivered,INV-1009,2025-09-20,7300,Pending
PO-1010,2025-09-18,The Lalit,"Coaster x4; Soap Set x3",7,Pending,INV-1010,2025-09-21,6900,Received
